Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,movie_name
1994,142,124.0,9.3,124.0,510.0,481.0,73.0,766.0,2343110,28341469,The Shawshank Redemption
1972,175,110.0,9.2,120.0,358.0,6.0,280.0,167.0,1620367,134966411,The Godfather
2008,152,20.0,9.0,72.0,109.0,236.0,1.0,523.0,2303232,534858444,The Dark Knight
1974,202,110.0,9.0,120.0,9.0,550.0,584.0,167.0,1129952,57300000,The Godfather: Part II
1957,96,110.0,9.0,394.0,219.0,393.0,449.0,354.0,689845,4360000,12 Angry Men
2003,201,2.0,8.9,335.0,158.0,668.0,264.0,575.0,1642758,377845905,The Lord of the Rings: The Return of the King
1994,154,110.0,8.9,341.0,285.0,665.0,622.0,97.0,1826188,107928762,Pulp Fiction
1993,195,80.0,8.9,408.0,334.0,536.0,58.0,112.0,1213505,96898818,Schindler's List
2010,148,9.0,8.8,72.0,330.0,344.0,187.0,419.0,2067042,292576195,Inception
1999,139,124.0,8.8,86.0,66.0,157.0,464.0,777.0,1854740,37030102,Fight Club
2001,178,2.0,8.8,335.0,158.0,251.0,526.0,673.0,1661481,315544750,The Lord of the Rings: The Fellowship of the Ring
1994,142,155.0,8.8,367.0,516.0,559.0,219.0,657.0,1809221,330252182,Forrest Gump
1966,161,181.0,8.8,389.0,115.0,162.0,409.0,16.0,688390,6100000,"Il buono, il brutto, il cattivo"
2002,179,2.0,8.7,335.0,158.0,251.0,710.0,575.0,1485555,342551365,The Lord of the Rings: The Two Towers
1999,136,31.0,8.7,250.0,336.0,368.0,404.0,113.0,1676426,171479930,The Matrix
1990,146,77.0,8.7,275.0,441.0,541.0,326.0,462.0,1020727,46836394,Goodfellas
1980,124,4.0,8.7,165.0,355.0,233.0,92.0,78.0,1159315,290475067,Star Wars: Episode V - The Empire Strikes Back
1975,133,124.0,8.7,300.0,239.0,410.0,471.0,593.0,918088,112000000,One Flew Over the Cuckoo's Nest
2019,132,97.0,8.6,47.0,301.0,395.0,110.0,127.0,552778,53367844,Gisaengchung
2014,169,47.0,8.6,72.0,367.0,36.0,313.0,474.0,1512360,188020017,Interstellar
2002,130,110.0,8.6,118.0,319.0,17.0,407.0,507.0,699256,7563397,Cidade de Deus
2001,125,63.0,8.6,158.0,132.0,625.0,488.0,649.0,651376,10055859,Sen to Chihiro no kamikakushi
1998,169,165.0,8.6,408.0,516.0,444.0,690.0,190.0,1235804,216540909,Saving Private Ryan
1999,189,111.0,8.6,124.0,516.0,459.0,154.0,84.0,1147794,136801374,The Green Mile
1997,116,96.0,8.6,368.0,444.0,493.0,231.0,248.0,623629,57598247,La vita è bella
1995,127,116.0,8.6,86.0,388.0,69.0,390.0,34.0,1445096,100125643,Se7en
1991,118,119.0,8.6,221.0,273.0,41.0,405.0,402.0,1270197,130742922,The Silence of the Lambs
1977,121,4.0,8.6,139.0,355.0,233.0,92.0,17.0,1231473,322740140,Star Wars
1954,207,2.0,8.6,5.0,522.0,630.0,384.0,773.0,315744,269061,Shichinin no samurai
2019,122,119.0,8.5,432.0,272.0,550.0,734.0,224.0,939252,335451311,Joker
2014,106,146.0,8.5,78.0,385.0,260.0,467.0,587.0,717585,13092000,Whiplash
2011,112,76.0,8.5,320.0,555.0,200.0,524.0,42.0,760360,13182281,The Intouchables
2006,130,152.0,8.5,72.0,109.0,250.0,628.0,523.0,1190259,53089891,The Prestige
2006,151,119.0,8.5,275.0,330.0,444.0,275.0,495.0,1189773,132384315,The Departed
2002,150,81.0,8.5,372.0,6.0,643.0,209.0,207.0,729603,32572577,The Pianist
2000,155,2.0,8.5,355.0,457.0,320.0,129.0,573.0,1341460,187705427,Gladiator
1998,119,124.0,8.5,440.0,155.0,156.0,62.0,335.0,1034705,6719864,American History X
1995,106,122.0,8.5,55.0,313.0,203.0,102.0,695.0,991208,23341568,The Usual Suspects
1994,110,20.0,8.5,258.0,261.0,207.0,501.0,153.0,1035236,19501238,Léon
1994,88,62.0,8.5,369.0,439.0,446.0,310.0,306.0,942045,422783777,The Lion King
1991,137,31.0,8.5,173.0,36.0,406.0,178.0,634.0,995506,204843350,Terminator 2: Judgment Day
1988,155,155.0,8.5,146.0,419.0,174.0,42.0,288.0,230763,11990401,Nuovo Cinema Paradiso
1985,116,40.0,8.5,367.0,377.0,111.0,406.0,144.0,1058081,210609762,Back to the Future
1968,165,181.0,8.5,389.0,219.0,92.0,126.0,320.0,302844,5321508,Once Upon a Time in the West
1960,109,174.0,8.5,17.0,33.0,283.0,704.0,355.0,604211,32000000,Psycho
1942,102,158.0,8.5,288.0,229.0,253.0,537.0,137.0,522093,1024560,Casablanca
1936,87,92.0,8.5,64.0,93.0,522.0,253.0,725.0,217881,163245,Modern Times
1931,87,96.0,8.5,64.0,93.0,673.0,202.0,263.0,167839,19181,City Lights
2018,126,124.0,8.4,302.0,552.0,696.0,75.0,411.0,62635,1661096,Capharnaüm
2016,106,72.0,8.4,264.0,461.0,478.0,610.0,48.0,194838,5017246,Kimi no na wa.
2016,161,14.0,8.4,313.0,0.0,579.0,197.0,664.0,156479,12391761,Dangal
2018,117,57.0,8.4,46.0,414.0,562.0,639.0,302.0,375110,190241310,Spider-Man: Into the Spider-Verse
2019,181,2.0,8.4,30.0,275.0,551.0,113.0,492.0,809955,858373000,Avengers: Endgame
2018,149,9.0,8.4,30.0,275.0,551.0,114.0,492.0,834477,678815482,Avengers: Infinity War
2017,105,63.0,8.4,254.0,5.0,40.0,216.0,69.0,384171,209726015,Coco
2012,165,167.0,8.4,341.0,247.0,109.0,411.0,420.0,1357682,162805434,Django Unchained
2012,164,0.0,8.4,72.0,109.0,653.0,34.0,233.0,1516346,448139099,The Dark Knight Rises
2009,170,91.0,8.4,342.0,0.0,417.0,492.0,678.0,344445,6532908,3 Idiots
2007,165,125.0,8.4,0.0,19.0,124.0,0.0,726.0,168895,1223869,Taare Zameen Par
2008,98,63.0,8.4,24.0,48.0,163.0,303.0,229.0,999790,223808164,WALL·E
2006,137,153.0,8.4,119.0,525.0,436.0,636.0,740.0,358685,11286112,The Lives of Others
2003,101,25.0,8.4,63.0,101.0,695.0,373.0,425.0,515451,707481,Oldeuboi
2000,113,179.0,8.4,72.0,211.0,87.0,325.0,490.0,1125712,25544867,Memento
1997,134,57.0,8.4,158.0,550.0,698.0,731.0,77.0,343171,2375308,Mononoke-hime
1984,229,110.0,8.4,389.0,441.0,276.0,185.0,735.0,311365,5321508,Once Upon a Time in America
1981,115,0.0,8.4,408.0,216.0,359.0,535.0,365.0,884112,248159971,Raiders of the Lost Ark
1980,146,142.0,8.4,401.0,239.0,601.0,147.0,671.0,898237,44017374,The Shining
